model,pooling,max_length,overlap_tokens,clf,val_accuracy,val_f1,val_auc,test_accuracy,test_f1,test_auc
prajjwal1/bert-tiny,mean_last_hidden + mean_over_chunks,512,64,LogReg,0.55,0.6197183098591549,0.5483368994359074,0.54,0.6187845303867403,0.5085
distilbert-base-uncased,mean_last_hidden + mean_over_chunks,512,64,LogReg,0.52,0.6022099447513812,0.5215911301303249,0.5633333333333334,0.6561679790026247,0.53285
albert-base-v2,mean_last_hidden + mean_over_chunks,512,64,LogReg,0.5266666666666666,0.6282722513089005,0.47534526356739937,0.5433333333333333,0.6422976501305483,0.46885000000000004
distilroberta-base,mean_last_hidden + mean_over_chunks,512,64,LogReg,0.49333333333333335,0.6020942408376964,0.4708714257926473,0.5366666666666666,0.6293333333333333,0.5343
